Gene	RNA_log2FC	RNA_Pval	RNA_FDR	Prot_log2FC	Prot_Pval	Prot_FDR	Meta_PVal	Meta_FDR
ABCD1	-0.0365363664144214	0.799598153047238	0.979412103366344	-0.221915284063583	0.08772826820898	0.18736913766106	0.256539934164622	0.34491360585688
ABCD3	-0.184813986997557	0.148654360815548	0.453746894218856	-0.184819563919503	0.238680487945558	0.384860913853765	0.153943158254409	0.232188792587191
ABCD4	-0.144682447622434	0.142425583909948	0.44270021793755	-0.0920933748125715	0.539848508962396	0.673505906478729	0.274137527548289	0.362476660031997
ABCE1	0.430582433268628	8.36281277873871e-05	0.00251626733270918	0.477110030110574	1.32462213488504e-05	0.000393971599024012	2.39507269085491e-08	6.2378984840522e-07
ABCF1	0.314311800309321	0.0266072351211931	0.152065807160865	0.1588326586099	0.214777975905512	0.356511774263041	0.0352292287980127	0.0696846278629081
ABCF2	0.0840836924276003	0.46135015560335	0.814572264298794	0.126633866463961	0.254239947807409	0.401948289577577	0.368662653413874	0.458154489559148
ABCF3	0.0765956186543901	0.429074618842284	0.787838224930366	0.161279776169464	0.131309604976172	0.251077682644042	0.218398230784723	0.304552906921463
ABHD10	-0.0215943403649428	0.828259972836143	0.979412103366344	-0.21467197640893	0.0556335733163494	0.133891527474868	0.187882607554944	0.271393285176772
ABHD11	0.23436685977878	0.205153019368035	0.545411254934002	-0.243424449085514	0.204730898719682	0.345024582304484	0.175147269731408	0.257014178004702
ABHD12	0.191662884685448	0.0505885915783987	0.232233508609334	0.120705451449069	0.293414978664656	0.444371225687239	0.0773372973291819	0.131631955727482
ABHD13	-0.0623436065599297	0.526157318835492	0.860386050449876	-0.104695638043323	0.277716065951904	0.427955904909491	0.427161078727744	0.515130338969287
ABHD14B	-0.254803361730648	0.076302874989677	0.302022913456841	-0.0741371287155927	0.725264085913545	0.820529086202932	0.21550753523388	0.301766686610464
ABHD16A	0.0232001714359229	0.851115215364218	0.979412103366344	-0.218531201828056	0.0713693852415779	0.160961640766995	0.230892029664186	0.318307240894981
ABHD17A	-0.20571117487839	0.0196698291164572	0.123699870349286	-0.159128557049419	0.159829584505289	0.289197351811614	0.0212595124692692	0.0464476833831518
ABHD6	-0.40287217993119	0.0105631309627836	0.0800005142426596	-0.196807527453197	0.0731713223539095	0.163972138574067	0.00631113758878835	0.0171666618359762
ABI1	0.189396237499473	0.0275588853303048	0.155765944414906	0.138307220501079	0.107773437381368	0.217024873594357	0.020253674987052	0.0446944652992477
ABI2	0.209394183952972	0.0849340015146199	0.323155196765005	-0.0395359621313191	0.720258127163306	0.816710904035249	0.232097297447469	0.319438387645513
ABI3	-0.724917812098937	0.000158449449166869	0.00397400132418415	-0.490112334089398	6.30152997770952e-06	0.000252525522369896	2.16916336645584e-08	5.78856738362788e-07
ABI3BP	-1.23479357030149	6.3359100032084e-08	2.12481218788536e-05	-0.719119630182844	0.00124071437111388	0.00842711794974227	1.9076034643634e-09	9.13693146520726e-08
ABL1	0.00178757338728985	0.984552849151291	0.992956780234001	-0.0637257977832478	0.447998937626481	0.593331694396943	0.802115608176072	0.844379800548269
ABL2	0.260155228734679	0.0106704785224949	0.0806308516673887	0.253406370635825	0.061828050317786	0.144579388610206	0.0054914177445433	0.0152591570796681
ABLIM1	0.384079881374035	0.0500639832110105	0.230918760610084	0.0334571154851109	0.845656647516248	0.905856740881923	0.176210363016121	0.258206790075284
ABLIM3	0.0527580778936025	0.840193241728005	0.979412103366344	0.0107663527019703	0.944157052015035	0.967375808527645	0.976985710408889	0.981575704187887
ABO	-0.613702656903665	0.0802296361263923	0.311619100624325	-0.536432809886025	0.111954374852498	0.223439216284907	0.0513102571966252	0.0945708539154375
ABR	-0.39141393320953	0.0028715395794072	0.0320997909867958	-0.425052688364392	0.000278908212884596	0.00307323752952723	1.20435021586993e-05	0.000100546422491398
ABT1	0.185144654304236	0.13754125023225	0.433901989075728	0.517365278394847	2.92213114809712e-07	3.97009439672851e-05	7.24634862839901e-07	9.95307296900687e-06
ABTB2	0.123227876717045	0.53711100625077	0.86989587822402	-0.0796250076086319	0.414900671656783	0.563412469055599	0.557401576144388	0.637810808108862
ACAA1	-0.200906900336998	0.065358503701399	0.27392732170781	-0.103140565657055	0.391699471481575	0.540510707167793	0.119431439413474	0.188546738917701
ACAA2	-0.134428495180042	0.354020282796711	0.724732558054345	-0.539559471223577	0.000662818031183769	0.00553365843139607	0.0021957261355447	0.00720213594591307
